,task,true,model,model_extracted,classification_metric
2123,morning usually light breakfast packet easily mild indiv pour convenient liqu wrap stevia ual afternoon,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2124,morning usually light breakfast packet mild easily indiv pour convenient liqu wrap lover warm stevia,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2125,motherboard appreciate info test type graphics internet upgrade access setup cmos mode experience error anybody,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2126,mouse apple robert fast processor move speed slow week clock pretty music microsoft chicago jason,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2127,mouse apple robert processor move fast speed week music microsoft slow pretty chicago clock jason,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2128,mouse apple robert processor move fast speed week slow pretty clock music microsoft chicago jason,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2129,mouse application week robert move speed fast carry processor chicago graphics anyway weapon away distribution,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2130,mouse doctor hamburg sean symptom informatik sinus quicktime bontchev movie test virus keyboard typing vesselin,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2131,mouse doctor hamburg sean symptom informatik sinus quicktime bontchev movie virus test keyboard typing vesselin,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2132,mouse helmet move carry live week rate andy police figure stuff remember auto robert maybe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2133,mouse helmet police jason face ticket shooting auto weapon knife revolver rates semi criminal handgun,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2134,mouse helmet police jason shooting auto weapon knife ticket revolver rates semi criminal face handgun,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2135,mouse helmet police jason ticket face shooting auto weapon knife revolver rates semi criminal handgun,2,  No.</s>,-2,0.0
2136,mouse helmet police jason ticket face shooting music auto weapon revolver rates knife semi criminal,0,  No.</s>,-2,0.0
2137,mouse move robert processor speed clock chicago week fast motorola microsoft jason slow pretty somebody,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2138,mouse move robert week processor chicago speed fast application microsoft anyway carry wait powerpc info,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2139,mouse movie informatik typing hamburg sean keyboard move injury break bontchev quicktime motion vesselin wrist,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2140,mouse movie informatik typing keyboard move sean hamburg break injury bontchev quicktime motion vesselin supposedly,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2141,mouse movie typing informatik sean hamburg keyboard move injury bontchev quicktime motion break vesselin info,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2142,mouse robert apple processor move fast week speed music chicago microsoft pretty slow clock jason,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2143,mouse robert processor move apple week fast chicago speed music pretty comp microsoft clock slow,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2144,mouse robert week processor move fast speed carry comp application chicago graphics anyway music tool,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2145,mouse speed fast move robert clock somebody slow processor performance machine jason pretty intel week,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2146,mouse speed robert move fast clock processor somebody slow jason chicago pretty intel week motorola,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2147,mouse week move helmet carry fast speed robert police figure auto live semi jason getting,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2148,music japanese weaver motorcycle letter flame engineering member denizen onur yalcin membership technology resume bruce,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2149,music motorcycle letter weaver japanese engineering flame member chuck membership denizen bruce onur yalcin resume,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2150,muslim islam algorithm cipher reference islamic text attack message random public method function crypt ripem,-1,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
2151,muslim islam algorithm message islamic attack cipher public random reference text method function crypt ripem,-1,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
2152,muslim islam islamic cheer ohio kent sandvik newton upenn gregg jaeger apple magnus rice activity,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2153,muslim islam islamic cheer ohio kent sandvik newton upenn gregg jaeger magnus apple rice rushdie,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2154,muslim islam text code function reference islamic attack message cipher algorithm public random crypt ripem,0,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2155,muslim null function code text islam output jaeger gregg subject open reference error date char,-2,"  Sure, I'd be happy to help!  Classification: rather no</s>",-1,0.25
2156,n't could money juice wrong guess think color bought waste fine throw show picture either,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2157,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2158,n't money juice color could think guess wrong fine bought waste either throw show picture,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2159,n't money juice color guess think wrong fine bought could waste either throw show picture,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2160,n't money juice color guess wrong could bought think fine waste throw either show picture,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2161,n't money juice color think fine guess wrong could either bought waste throw show picture,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2162,n't money juice color think guess wrong could fine bought waste either throw show picture,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2163,n't think money either juice fine color guess wrong waste could throw show end picture,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2164,nasa anonymous science earth orbit mission code library image news moon reference access general graphics,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
